  1 , Limestone Coast                , 13460163
  2 , Murray and Mallee              , 20667942
  3 , Eastern Adelaide               ,  6721660
  4 , Adelaide Hills                 ,  2709243
  5 , Southern Adelaide              , 13422313
  6 , Western Adelaide               ,  6453780
  7 , Eyre and Western               , 18693636
  8 , Yorke and Mid North            , 23464342
  9 , Barossa Light and Lower North ,  5077909
 10 , Fleurieu and Kangaroo Island   ,  7583313
 11 , Northern Adelaide              , 26209192
 12 , Far North                      , 18538308
